data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
300.00, CMB_to_KBJ_001_1, 7.70, 7.70, 57.00
300.00, CMB_to_KBJ_001_2, 5.20, 5.20, 31.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.19, 0.00
300.00, MRT_to_KB_001.37_2, 15.25, 17.13, 50.00
300.00, MRT_to_KB_001.37_3, 20.05, 20.05, 47.00
300.00, MRT_to_KB_001.37_4, 20.05, 20.05, 42.00
300.00, P_to_KBJ_2, 9.70, 9.70, 108.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
600.00, MRT_to_KB_001.37_5, 5.20, 5.20, 9.00
600.00, P_to_KBJ_1, 3.00, 3.00, 59.00
600.00, P_to_KBJ_2, 3.00, 3.00, 66.00
900.00, CMB_to_KBJ_001_1, 13.95, 13.95, 58.00
900.00, CMB_to_KBJ_001_2, 3.55, 3.55, 41.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
900.00, MRT_to_KB_001.37_2, 24.86, 24.86, 73.00
900.00, MRT_to_KB_001.37_3, 27.96, 27.96, 69.00
900.00, MRT_to_KB_001.37_4, 30.46, 30.46, 61.00
900.00, MRT_to_KB_001.37_5, 5.20, 5.20, 4.00
900.00, P_to_KBJ_1, 0.00, 5.33, 0.00
1200.00, CMB_to_KBJ_001_1, 6.30, 6.30, 10.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
1200.00, MRT_to_KB_001.37_5, 8.75, 8.75, 71.00
1200.00, P_to_KBJ_1, 10.70, 10.70, 78.00
1200.00, P_to_KBJ_2, 23.92, 23.92, 47.00
1500.00, CMB_to_KBJ_001_1, 15.60, 15.60, 133.00
1500.00, CMB_to_KBJ_001_2, 12.90, 12.90, 87.00
1500.00, CMB_to_KBJ_001_3, 6.30, 6.30, 74.00
1500.00, CMB_to_KBJ_001_4, 3.00, 3.00, 40.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
1500.00, MRT_to_KB_001.37_2, 18.35, 18.35, 68.00
1500.00, MRT_to_KB_001.37_3, 18.10, 27.58, 61.00
1500.00, MRT_to_KB_001.37_4, 17.30, 17.30, 54.00
1500.00, P_to_KBJ_1, 3.00, 3.00, 12.00
1800.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
1800.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
1800.00, MRT_to_KB_001.37_5, 7.70, 7.70, 40.00
1800.00, P_to_KBJ_1, 18.10, 18.10, 85.00
1800.00, P_to_KBJ_2, 18.30, 18.30, 33.00
2100.00, CMB_to_KBJ_001_1, 23.96, 23.96, 87.00
2100.00, CMB_to_KBJ_001_2, 15.60, 15.60, 66.00
2100.00, CMB_to_KBJ_001_3, 3.55, 3.55, 62.00
2100.00, CMB_to_KBJ_001_4, 6.30, 6.30, 47.00
2100.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
2100.00, MRT_to_KB_001.37_2, 32.21, 32.21, 62.00
2100.00, MRT_to_KB_001.37_3, 29.24, 29.24, 57.00
2100.00, MRT_to_KB_001.37_4, 34.45, 34.45, 58.00
2100.00, P_to_KBJ_2, 83.12, 83.12, 159.00
2400.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
2400.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
2400.00, MRT_to_KB_001.37_5, 18.95, 18.95, 90.00
2400.00, P_to_KBJ_1, 14.30, 14.30, 97.00
2400.00, P_to_KBJ_2, 27.11, 27.11, 45.00
2700.00, CMB_to_KBJ_001_1, 21.15, 21.15, 122.00
2700.00, CMB_to_KBJ_001_2, 12.45, 12.45, 46.00
2700.00, CMB_to_KBJ_001_3, 5.20, 5.20, 43.00
2700.00, CMB_to_KBJ_001_4, 7.25, 7.25, 32.00
2700.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
2700.00, MRT_to_KB_001.37_2, 21.71, 21.71, 49.00
2700.00, MRT_to_KB_001.37_3, 22.56, 22.56, 48.00
2700.00, MRT_to_KB_001.37_4, 31.31, 31.31, 43.00
2700.00, P_to_KBJ_2, 55.91, 55.91, 156.00
3000.00, CMB_to_KBJ_001_1, 11.25, 11.25, 22.00
3000.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
3000.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
3000.00, MRT_to_KB_001.37_5, 10.20, 10.20, 27.00
3000.00, P_to_KBJ_1, 3.55, 3.55, 10.00
3000.00, P_to_KBJ_2, 47.51, 47.51, 44.00
3300.00, CMB_to_KBJ_001_1, 18.45, 23.76, 114.00
3300.00, CMB_to_KBJ_001_2, 10.40, 10.40, 69.00
3300.00, CMB_to_KBJ_001_3, 6.30, 6.30, 3.00
3300.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
3300.00, MRT_to_KB_001.37_2, 19.81, 19.81, 48.00
3300.00, MRT_to_KB_001.37_3, 12.23, 28.88, 44.00
3300.00, MRT_to_KB_001.37_4, 17.43, 17.43, 25.00
3300.00, P_to_KBJ_2, 90.32, 90.32, 150.00
3600.00, :KB_Junction_2_0, 6.17, 6.17, 18.00
3600.00, KBJ_to_CMB_001_1, 0.00, 24.97, 0.00
3600.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
3600.00, MRT_to_KB_001.37_5, 19.20, 19.20, 37.00
3600.00, P_to_KBJ_1, 30.93, 30.93, 35.00
3600.00, P_to_KBJ_2, 114.43, 100.02, 50.00
3900.00, CMB_to_KBJ_001_1, 16.91, 16.91, 96.00
3900.00, CMB_to_KBJ_001_2, 16.75, 16.75, 58.00
3900.00, CMB_to_KBJ_001_3, 9.75, 9.75, 45.00
3900.00, CMB_to_KBJ_001_4, 6.30, 6.30, 24.00
3900.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
3900.00, MRT_to_KB_001.37_2, 23.66, 23.66, 46.00
3900.00, MRT_to_KB_001.37_3, 26.96, 26.96, 38.00
3900.00, MRT_to_KB_001.37_4, 30.06, 30.06, 34.00
3900.00, P_to_KBJ_1, 130.76, 0.00, 102.00
3900.00, P_to_KBJ_2, 127.43, 100.72, 150.00
4200.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
4200.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
4200.00, MRT_to_KB_001.37_5, 3.55, 3.55, 9.00
4200.00, MRT_to_KB_003_2, 0.00, 27.23, 0.00
4200.00, P_to_KBJ_1, 122.67, 50.61, 61.00
4200.00, P_to_KBJ_2, 129.82, 101.38, 45.00
4500.00, CMB_to_KBJ_001_1, 3.55, 3.55, 37.00
4500.00, CMB_to_KBJ_001_2, 27.56, 25.06, 60.00
4500.00, CMB_to_KBJ_001_3, 10.40, 10.40, 44.00
4500.00, CMB_to_KBJ_001_4, 5.20, 5.20, 34.00
4500.00, MRT_to_KB_001.37_1, 0.00, 15.16, 0.00
4500.00, MRT_to_KB_001.37_2, 25.96, 25.96, 47.00
4500.00, MRT_to_KB_001.37_3, 18.95, 18.95, 44.00
4500.00, MRT_to_KB_001.37_4, 26.86, 26.86, 30.00
4500.00, P_to_KBJ_1, 131.87, 0.00, 108.00
4500.00, P_to_KBJ_2, 129.73, 101.37, 147.00
4800.00, P_to_KBJ_1, 40.96, 40.96, 57.00
4800.00, P_to_KBJ_2, 88.32, 88.32, 34.00
5100.00, P_to_KBJ_2, 26.01, 26.01, 136.00
5400.00, , , , 
