data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
300.00, CMB_to_KBJ_001_1, 3.00, 3.00, 11.00
300.00, KBJ_to_CMB_002_1, 0.00, 33.26, 0.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.18, 0.00
300.00, MRT_to_KB_001.37_5, 6.35, 6.35, 39.00
300.00, P_to_KBJ_1, 11.35, 11.35, 76.00
300.00, P_to_KBJ_2, 11.75, 14.32, 46.00
600.00, CMB_to_KBJ_001_2, 13.70, 13.70, 40.00
600.00, CMB_to_KBJ_001_3, 3.00, 3.00, 9.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
600.00, P_to_KBJ_1, 12.05, 12.05, 58.00
600.00, P_to_KBJ_2, 8.85, 8.85, 122.00
900.00, CMB_to_KBJ_001_1, 16.30, 16.30, 59.00
900.00, CMB_to_KBJ_001_2, 6.05, 6.05, 94.00
900.00, CMB_to_KBJ_001_3, 3.00, 3.00, 42.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.16, 0.00
900.00, MRT_to_KB_001.37_2, 28.26, 28.26, 68.00
900.00, MRT_to_KB_001.37_3, 27.21, 27.21, 64.00
900.00, MRT_to_KB_001.37_4, 29.96, 29.96, 54.00
900.00, MRT_to_KB_001.37_5, 3.00, 3.00, 6.00
900.00, P_to_KBJ_1, 0.00, 3.06, 0.00
900.00, P_to_KBJ_2, 42.81, 42.81, 81.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1200.00, MRT_to_KB_001_2, 25.81, 22.46, 67.00
1200.00, MRT_to_KB_001_3, 27.46, 19.70, 69.00
1200.00, MRT_to_KB_001_4, 21.23, 21.23, 34.00
1200.00, MRT_to_KB_001.37_2, 42.11, 35.41, 83.00
1200.00, MRT_to_KB_001.37_3, 40.31, 34.46, 83.00
1200.00, MRT_to_KB_001.37_4, 37.66, 31.81, 88.00
1200.00, MRT_to_KB_001.37_5, 26.89, 26.89, 61.00
1200.00, MRT_to_KB_003_2, 21.61, 21.61, 25.00
1200.00, P_to_KBJ_1, 8.70, 8.70, 25.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
1500.00, MRT_to_KB_001.37_5, 9.75, 9.75, 32.00
1500.00, P_to_KBJ_1, 10.90, 10.90, 61.00
1500.00, P_to_KBJ_2, 23.61, 23.61, 68.00
1800.00, CMB_to_KBJ_001_1, 5.20, 5.20, 60.00
1800.00, CMB_to_KBJ_001_2, 20.30, 20.30, 41.00
1800.00, CMB_to_KBJ_001_3, 3.00, 3.00, 39.00
1800.00, KBJ_to_CMB_001_1, 0.00, 24.97, 0.00
1800.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1800.00, MRT_to_KB_001.37_2, 8.55, 8.55, 8.00
1800.00, MRT_to_KB_001.37_3, 5.20, 10.99, 9.00
1800.00, P_to_KBJ_2, 41.51, 41.51, 129.00
2100.00, CMB_to_KBJ_001_1, 27.71, 19.96, 85.00
2100.00, CMB_to_KBJ_001_2, 12.35, 12.35, 105.00
2100.00, CMB_to_KBJ_001_3, 16.60, 16.60, 98.00
2100.00, CMB_to_KBJ_001_4, 11.80, 11.80, 64.00
2100.00, MRT_to_KB_001_2, 5.20, 11.04, 8.00
2100.00, MRT_to_KB_001_3, 5.50, 5.50, 7.00
2100.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
2100.00, MRT_to_KB_001.37_2, 39.01, 35.66, 73.00
2100.00, MRT_to_KB_001.37_3, 41.06, 32.86, 70.00
2100.00, MRT_to_KB_001.37_4, 40.86, 35.16, 67.00
2100.00, MRT_to_KB_001.37_5, 16.31, 16.31, 31.00
2100.00, P_to_KBJ_2, 100.97, 100.97, 117.00
2400.00, CMB_to_KBJ_001_2, 0.00, 14.70, 0.00
2400.00, CMB_to_KBJ_001_3, 0.00, 17.52, 0.00
2400.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
2400.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
2400.00, MRT_to_KB_001_2, 22.51, 22.51, 55.00
2400.00, MRT_to_KB_001_3, 24.11, 24.11, 53.00
2400.00, MRT_to_KB_001_4, 24.96, 19.26, 33.00
2400.00, MRT_to_KB_001.37_4, 0.00, 32.55, 0.00
2400.00, MRT_to_KB_001.37_5, 39.61, 31.74, 4.00
2400.00, MRT_to_KB_003_1, 16.97, 16.97, 5.00
2400.00, MRT_to_KB_003_2, 34.01, 27.71, 46.00
2400.00, MRT_to_KB_003_3, 10.33, 10.33, 1.00
2400.00, P_to_KBJ_1, 14.50, 14.50, 33.00
2400.00, P_to_KBJ_2, 6.30, 6.30, 10.00
2700.00, KBJ_to_CMB_002_1, 0.00, 33.25, 0.00
2700.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
2700.00, MRT_to_KB_001.37_5, 16.75, 16.75, 130.00
2700.00, P_to_KBJ_1, 16.91, 16.91, 129.00
2700.00, P_to_KBJ_2, 32.46, 38.18, 69.00
3000.00, CMB_to_KBJ_001_1, 22.51, 22.51, 89.00
3000.00, CMB_to_KBJ_001_2, 17.45, 17.45, 48.00
3000.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
3000.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
3000.00, MRT_to_KB_001.37_2, 5.20, 5.20, 3.00
3000.00, MRT_to_KB_001.37_3, 0.00, 3.06, 0.00
3000.00, P_to_KBJ_2, 86.27, 86.27, 130.00
3300.00, :J37_0_0, 5.21, 5.21, 1.00
3300.00, CMB_to_KBJ_001_1, 30.66, 21.61, 149.00
3300.00, CMB_to_KBJ_001_2, 21.11, 21.11, 105.00
3300.00, CMB_to_KBJ_001_3, 8.55, 8.55, 95.00
3300.00, CMB_to_KBJ_001_4, 7.70, 7.70, 74.00
3300.00, MRT_to_KB_001_2, 5.20, 5.20, 15.00
3300.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
3300.00, MRT_to_KB_001.37_2, 37.21, 31.51, 78.00
3300.00, MRT_to_KB_001.37_3, 36.96, 31.96, 73.00
3300.00, MRT_to_KB_001.37_4, 37.81, 31.96, 71.00
3300.00, MRT_to_KB_001.37_5, 12.13, 12.13, 8.00
3300.00, P_to_KBJ_1, 3.00, 3.00, 1.00
3300.00, P_to_KBJ_2, 104.58, 101.23, 62.00
3600.00, :J37_0_1, 0.00, 10.12, 0.00
3600.00, CMB_to_KBJ_002_2, 0.00, 6.03, 0.00
3600.00, KBJ_to_CMB_001_1, 0.00, 24.98, 0.00
3600.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
3600.00, MRT_to_KB_001_3, 0.00, 19.18, 0.00
3600.00, MRT_to_KB_001_4, 17.54, 25.37, 1.00
3600.00, MRT_to_KB_001.37_4, 0.00, 30.53, 0.00
3600.00, MRT_to_KB_001.37_5, 38.90, 36.40, 22.00
3600.00, MRT_to_KB_003_1, 32.22, 26.52, 54.00
3600.00, MRT_to_KB_003_2, 31.26, 31.26, 91.00
3600.00, MRT_to_KB_003_3, 29.00, 29.00, 52.00
3600.00, P_to_KBJ_1, 26.76, 26.76, 54.00
3600.00, P_to_KBJ_2, 130.60, 99.79, 18.00
3900.00, CMB_to_KBJ_001_1, 17.45, 17.45, 46.00
3900.00, KBJ_to_CMB_002_1, 38.96, 38.96, 2.00
3900.00, KBJ_to_CMB_002_2, 0.00, 42.33, 0.00
3900.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
3900.00, MRT_to_KB_001.37_5, 34.86, 32.36, 62.00
3900.00, MRT_to_KB_003_1, 0.00, 30.72, 0.00
3900.00, P_to_KBJ_1, 127.28, 100.47, 90.00
3900.00, P_to_KBJ_2, 132.14, 100.28, 78.00
4200.00, CMB_to_KBJ_001_1, 10.20, 10.20, 76.00
4200.00, CMB_to_KBJ_001_2, 29.41, 21.20, 54.00
4200.00, CMB_to_KBJ_001_3, 22.46, 22.46, 45.00
4200.00, CMB_to_KBJ_001_4, 20.81, 20.81, 35.00
4200.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
4200.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
4200.00, MRT_to_KB_001.37_2, 30.68, 30.68, 22.00
4200.00, MRT_to_KB_001.37_3, 23.22, 23.22, 24.00
4200.00, MRT_to_KB_001.37_4, 18.51, 18.51, 18.00
4200.00, P_to_KBJ_1, 131.63, 102.41, 87.00
4200.00, P_to_KBJ_2, 131.58, 98.62, 138.00
4500.00, :J37_0_0, 20.16, 11.96, 161.00
4500.00, :J37_0_1, 15.36, 12.86, 14.00
4500.00, CMB_to_KBJ_001_1, 29.06, 29.06, 168.00
4500.00, CMB_to_KBJ_001_2, 29.41, 21.20, 115.00
4500.00, CMB_to_KBJ_001_3, 26.86, 21.15, 100.00
4500.00, CMB_to_KBJ_001_4, 25.81, 20.11, 87.00
4500.00, CMB_to_KBJ_002_2, 0.00, 10.55, 0.00
4500.00, MRT_to_KB_001_2, 23.46, 23.46, 54.00
4500.00, MRT_to_KB_001_3, 25.36, 22.00, 40.00
4500.00, MRT_to_KB_001_4, 7.25, 7.25, 12.00
4500.00, MRT_to_KB_001.37_1, 0.00, 15.16, 0.00
4500.00, MRT_to_KB_001.37_2, 40.11, 34.41, 84.00
4500.00, MRT_to_KB_001.37_3, 40.01, 32.51, 85.00
4500.00, MRT_to_KB_001.37_4, 40.26, 31.91, 82.00
4500.00, MRT_to_KB_001.37_5, 36.73, 31.72, 35.00
4500.00, MRT_to_KB_003_1, 26.86, 26.86, 5.00
4500.00, MRT_to_KB_003_2, 30.46, 24.76, 32.00
4500.00, MRT_to_KB_003_3, 14.55, 14.55, 4.00
4500.00, P_to_KBJ_1, 90.73, 94.18, 14.00
4500.00, P_to_KBJ_2, 130.89, 100.93, 170.00
4800.00, P_to_KBJ_1, 88.28, 91.66, 46.00
4800.00, P_to_KBJ_2, 69.53, 80.02, 21.00
5100.00, P_to_KBJ_1, 104.28, 101.77, 122.00
5100.00, P_to_KBJ_2, 119.83, 100.33, 83.00
5400.00, P_to_KBJ_2, 8.80, 8.80, 144.00
